Filter Number	Filter Name	Manufacturer	Hex Color	405	410	415	420	425	430	435	440	445	450	455	460	465	470	475	480	485	490	495	500	505	510	515	520	525	530	535	540	545	550	555	560	565	570	575	580	585	590	595	600	605	610	615	620	625	630	635	640	645	650	655	660	665	670	675	680	685	690	695	700
019	Fire	Lee Filters	#FF4600	0.552	0.521	0.508	0.519	0.55	0.6	0.647	0.678	0.677	0.668	0.657	0.648	0.646	0.663	0.698	0.75	0.821	0.906	0.997	1.084	1.167	1.249	1.359	1.548	1.812	2.068	2.195	2.093	1.838	1.525	1.226	0.986	0.934	1.262	2.472	6.176	14.268	27.913	44.539	59.769	71.042	77.837	80.439	80.795	81.022	81.557	82.713	84.395	85.747	86.265	85.761	84.516	83.542	82.722	83.186	83.885	85.323	86.596	87.491	87.89
