Filter Number	Filter Name	Manufacturer	Hex Color	405	410	415	420	425	430	435	440	445	450	455	460	465	470	475	480	485	490	495	500	505	510	515	520	525	530	535	540	545	550	555	560	565	570	575	580	585	590	595	600	605	610	615	620	625	630	635	640	645	650	655	660	665	670	675	680	685	690	695	700
352	Glacier Blue	Lee Filters	#5AC8E1	48.762	52.185	54.714	57.748	61.003	63.793	66.492	68.534	69.783	70.36	70.641	70.866	70.844	69.65	68.059	66.953	65.65	63.55	60.354	56.645	53.362	50.751	47.989	44.07	39.069	34.141	30.004	27.046	24.918	22.825	20.071	16.78	13.269	10.344	8.377	7.198	6.734	6.653	6.509	6.054	5.308	4.521	3.864	3.4	3.263	3.524	4.335	5.81	7.864	10.143	11.798	12.091	11.442	11.165	11.666	13.466	17.433	23.687	31.098	38.88
