Filter Number	Filter Name	Manufacturer	Hex Color	405	410	415	420	425	430	435	440	445	450	455	460	465	470	475	480	485	490	495	500	505	510	515	520	525	530	535	540	545	550	555	560	565	570	575	580	585	590	595	600	605	610	615	620	625	630	635	640	645	650	655	660	665	670	675	680	685	690	695	700
708	Cool Lavender	Lee Filters	#DCEBFA	70.153	73.003	73.905	73.804	74.676	77.216	79.01	78.899	78.448	78.961	79.954	80.278	79.775	78.666	77.392	76.866	76.106	75.046	73.349	71.297	68.723	66.232	63.554	60.951	58.591	56.096	53.555	50.459	47.108	43.892	40.83	38.743	37.718	37.924	38.735	39.884	41.111	42.241	42.708	42.319	41.377	40.341	39.018	38.159	37.78	38.36	40.511	43.665	47.234	49.982	51.546	50.881	48.549	47.401	48.35	51.359	57.579	64.953	71.085	75.021
