Filter Number	Filter Name	Manufacturer	Hex Color	405	410	415	420	425	430	435	440	445	450	455	460	465	470	475	480	485	490	495	500	505	510	515	520	525	530	535	540	545	550	555	560	565	570	575	580	585	590	595	600	605	610	615	620	625	630	635	640	645	650	655	660	665	670	675	680	685	690	695	700
212	L.C.T.Yellow (Y1)	Lee Filters	#FFFAD7	43.095	49.828	51.161	51.493	52.841	53.985	53.874	53.355	54.202	57.249	61.145	64.774	68.008	70.816	74.462	78.737	82.888	84.825	84.758	83.444	82.627	82.654	84.134	86.103	87.487	87.933	86.866	86.301	85.828	86.135	87.423	88.777	89.891	89.894	89.694	89.038	88.47	88.042	88.198	88.269	89.107	89.399	89.92	90.114	90.07	90.064	89.983	90.118	90.153	90.044	90.491	90.635	90.629	90.701	90.768	90.699	90.629	90.66	90.614	90.276
