Filter Number	Filter Name	Hex Color	350	355	360	365	370	375	380	385	390	395	400	405	410	415	420	425	430	435	440	445	450	455	460	465	470	475	480	485	490	495	500	505	510	515	520	525	530	535	540	545	550	555	560	565	570	575	580	585	590	595	600	605	610	615	620	625	630	635	640	645	650	655	660	665	670	675	680	685	690	695	700	705	710	715	720	725	730	735	740	745	750	755	760	765	770	775	780	785	790	795	800	805	810	815	820	825	830	835	840	845	850	855	860	865	870	875	880	885	890	895	900	905	910	915	920	925	930	935	940	945	950	955	960	965	970	975	980	985	990	995	1000	1005	1010	1015	1020	1025	1030	1035	1040	1045	1050	1055	1060	1065	1070	1075	1080	1085	1090	1095	1100
TB550/660/850	Triple Bandpass Green+Red+850nm NIR	#B7D05A	0.06	0.04	0.02	-0.01	-0.04	-0.025	-0.01	0.005	0.02	0.025	0.03	0.04	0.05	0.04	0.03	0.02	0.01	0.02	0.03	0.02	0.01	0.01	0.01	0.02	0.03	0.055	0.08	0.07	0.06	0.05	0.04	0.04	0.04	0.085	0.13	1.14	2.15	35.28	68.41	76.045	83.68	80.45	77.22	41.61	6.0	3.02	0.04	0.06	0.08	0.09	0.1	0.14	0.18	0.135	0.09	0.07	0.05	0.27	0.49	13.805	27.12	57.335	87.55	88.605	89.66	57.055	24.45	12.51	0.57	0.39	0.21	0.225	0.24	0.16	0.08	0.07	0.06	0.08	0.1	0.175	0.25	0.19	0.13	0.105	0.08	0.07	0.06	0.075	0.09	0.12	0.15	0.285	0.42	2.125	3.83	19.495	35.16	56.895	78.63	85.01	91.39	91.84	92.29	91.095	89.9	82.465	75.03	43.58	12.13	6.695	1.26	1.205	1.15	0.78	0.41	0.345	0.28	0.25	0.22	0.26	0.3	0.315	0.33	0.285	0.24	0.275	0.31	0.23	0.15	0.17	0.19	0.145	0.1	0.155	0.21	0.19	0.17	0.14	0.11	0.12	0.13	0.13	0.13	0.13	0.13	0.175	0.22	0.235	0.25	0.225	0.2
