Filter Number	Filter Name	Hex Color	300	305	310	315	320	325	330	335	340	345	350	355	360	365	370	375	380	385	390	395	400	405	410	415	420	425	430	435	440	445	450	455	460	465	470	475	480	485	490	495	500	505	510	515	520	525	530	535	540	545	550	555	560	565	570	575	580	585	590	595	600	605	610	615	620	625	630	635	640	645	650	655	660	665	670	675	680	685	690	695	700	705	710	715	720	725	730	735	740	745	750	755	760	765	770	775	780	785	790	795	800	805	810	815	820	825	830	835	840	845	850	855	860	865	870	875	880	885	890	895	900	905	910	915	920	925	930	935	940	945	950	955	960	965	970	975	980	985	990	995	1000	1005	1010	1015	1020	1025	1030	1035	1040	1045	1050	1055	1060	1065	1070	1075	1080	1085	1090	1095	1100
QB19	Nantong Foric Aerochrome	#FF0000	1.5	1.5	1.5	1.5	1.5	1.5	3.39	6.86	10.8	15.2	19.9	25.62	32.71	41.18	48.83	54.76	59.93	64.45	68.33	71.68	74.46	76.74	78.67	80.1	81.47	81.95	82.43	82.91	83.02	82.49	81.96	81.2	79.9	78.6	76.29	73.26	68.92	61.77	53.3	48.6	44.7	41.21	38.06	35.3	32.58	30.13	27.85	25.68	23.67	21.75	20.09	18.55	17.06	15.63	14.21	13.15	12.09	11.02	10.2	9.48	8.76	8.04	7.52	7.14	6.75	6.37	6.12	6.04	5.96	5.89	6.02	6.19	6.36	6.66	7.07	7.48	7.88	8.42	9.08	9.74	10.53	11.45	12.37	13.29	14.93	16.84	62.15	70.23	78.68	81.7	83.81	85.73	86.86	87.77	88.68	89.13	89.41	89.69	89.95	89.91	89.86	89.82	89.72	89.58	89.44	89.3	89.11	88.89	88.67	88.46	88.19	87.87	87.55	87.23	86.87	86.52	86.16	85.81	85.47	85.13	84.79	84.54	84.32	84.09	83.88	83.7	83.53	83.35	83.21	83.08	82.95	82.82	82.68	82.48	82.26	82.05	81.84	81.26	80.64	80.03	79.41	78.62	77.68	76.74	75.79	74.64	73.06	71.48	69.4	67.36	65.47	63.71	62.05	60.57	59.2	57.84	56.64	55.46	54.45	53.71	52.97
