Filter Number	Filter Name	Hex Color	405	410	415	420	425	430	435	440	445	450	455	460	465	470	475	480	485	490	495	500	505	510	515	520	525	530	535	540	545	550	555	560	565	570	575	580	585	590	595	600	605	610	615	620	625	630	635	640	645	650	655	660	665	670	675	680	685	690	695	700
075	Evening Blue	#64A0F0	44.521	48.565	53.841	58.422	60.753	64.456	70.374	73.885	72.964	70.839	71.07	71.701	69.619	65.263	61.574	58.917	55.652	50.789	44.912	39.441	34.783	30.559	25.992	21.186	16.667	12.863	10.137	8.166	6.74	5.497	4.337	3.275	2.434	1.843	1.515	1.405	1.512	1.804	2.161	2.365	2.28	1.977	1.6	1.319	1.221	1.404	2.021	3.483	6.338	11.014	16.772	22.011	25.057	27.313	29.893	33.846	40.307	49.307	58.0	64.713
