Filter Number	Filter Name	Manufacturer	Hex Color	405	410	415	420	425	430	435	440	445	450	455	460	465	470	475	480	485	490	495	500	505	510	515	520	525	530	535	540	545	550	555	560	565	570	575	580	585	590	595	600	605	610	615	620	625	630	635	640	645	650	655	660	665	670	675	680	685	690	695	700
195	Zenith Blue	Lee Filters	#006ED2	15.531	18.929	22.689	27.378	32.078	37.43	43.335	47.664	48.889	48.877	48.006	46.19	43.909	41.163	37.37	32.913	28.421	24.053	19.481	15.303	12.001	9.358	6.95	4.707	2.888	1.677	1.009	0.666	0.487	0.36	0.24	0.132	0.062	0.029	0.015	0.012	0.01	0.012	0.019	0.022	0.019	0.015	0.01	0.01	0.01	0.01	0.013	0.035	0.132	0.501	1.488	3.197	4.905	6.272	7.74	9.826	13.711	20.797	30.482	40.722
