Filter Number	Filter Name	Hex Color	405	410	415	420	425	430	435	440	445	450	455	460	465	470	475	480	485	490	495	500	505	510	515	520	525	530	535	540	545	550	555	560	565	570	575	580	585	590	595	600	605	610	615	620	625	630	635	640	645	650	655	660	665	670	675	680	685	690	695	700
068	Sky Blue	#46B4F0	41.381	46.708	51.491	55.278	58.993	64.379	70.119	72.816	72.306	71.065	71.12	71.813	70.542	67.046	62.957	59.824	57.232	53.885	48.929	43.512	38.698	34.499	30.44	25.936	20.94	16.378	12.964	10.7	9.233	8.003	6.624	5.004	3.451	2.304	1.631	1.304	1.266	1.399	1.585	1.644	1.502	1.247	0.971	0.764	0.679	0.754	1.062	1.827	3.342	5.782	8.505	10.308	10.747	11.202	12.11	14.295	19.093	27.09	36.558	45.341
