Filter Number	Filter Name	Hex Color	405	410	415	420	425	430	435	440	445	450	455	460	465	470	475	480	485	490	495	500	505	510	515	520	525	530	535	540	545	550	555	560	565	570	575	580	585	590	595	600	605	610	615	620	625	630	635	640	645	650	655	660	665	670	675	680	685	690	695	700
285	Three Quarter C.T. Orange	#FCCD94	22.313	24.098	24.965	24.664	24.557	24.914	25.129	24.708	23.927	23.724	24.582	26.064	27.763	29.219	30.943	33.105	36.18	39.698	42.929	44.958	46.193	47.492	49.146	51.511	53.806	55.215	55.434	55.362	55.684	57.162	59.854	62.84	65.339	67.415	68.386	69.175	70.201	72.375	75.527	79.558	83.526	86.635	88.445	89.13	88.821	88.177	87.384	87.4	87.547	87.984	88.984	90.034	90.358	90.9	90.469	90.296	89.708	89.231	88.837	88.73
