Filter Number	Filter Name	Manufacturer	Hex Color	405	410	415	420	425	430	435	440	445	450	455	460	465	470	475	480	485	490	495	500	505	510	515	520	525	530	535	540	545	550	555	560	565	570	575	580	585	590	595	600	605	610	615	620	625	630	635	640	645	650	655	660	665	670	675	680	685	690	695	700
116	Medium Blue-Green	Lee Filters	#00C8B9	6.522	9.711	12.232	14.633	16.988	18.454	21.184	24.064	25.947	28.203	29.982	31.296	33.924	37.194	40.201	43.962	48.53	52.673	54.917	56.048	55.758	53.552	50.039	45.497	39.812	33.626	27.58	21.312	15.355	10.218	6.157	3.268	1.559	0.674	0.282	0.109	0.044	0.018	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.012
