Filter Number	Filter Name	Hex Color	360	365	370	375	380	385	390	395	400	405	410	415	420	425	430	435	440	445	450	455	460	465	470	475	480	485	490	495	500	505	510	515	520	525	530	535	540	545	550	555	560	565	570	575	580	585	590	595	600	605	610	615	620	625	630	635	640	645	650	655	660	665	670	675	680	685	690	695	700	705	710	715	720	725	730	735	740	745	750	755	760	765	770	775	780	785	790	795	800	805	810	815	820	825	830	835	840	845	850	855	860	865	870	875	880	885	890	895	900	905	910	915	920	925	930	935	940	945	950	955	960	965	970	975	980	985	990	995	1000	1005	1010	1015	1020	1025	1030	1035	1040	1045	1050	1055	1060	1065	1070	1075	1080	1085	1090	1095
590	Longpass 590nm	#b32323	0.233	0.233	0.233	0.233	0.233	0.233	0.233	0.233	0.233	0.233	0.233	0.233	0.233	0.233	0.233	0.233	0.233	0.233	0.233	0.233	0.233	0.233	0.233	0.233	0.233	0.233	0.233	0.233	0.233	0.233	0.233	0.233	0.233	0.233	0.233	0.233	0.233	0.233	0.233	0.248	0.334	0.421	0.702	1.324	2.825	7.086	16.459	36.814	58.115	72.857	84.017	90.201	93.22	95.44	96.156	96.873	97.213	97.314	97.415	97.41	97.381	97.352	97.275	97.198	97.124	97.056	96.989	96.885	96.726	96.567	96.362	96.127	95.891	95.722	95.568	95.414	95.092	94.77	94.454	94.161	93.867	93.569	93.261	92.953	92.692	92.461	92.231	91.958	91.674	91.391	90.988	90.584	90.199	89.892	89.584	89.282	88.989	88.696	88.366	88.01	87.655	87.402	87.176	86.95	86.639	86.326	86.018	85.724	85.431	85.138	84.845	84.552	84.259	83.966	83.673	83.376	83.078	82.78	82.468	82.155	81.848	81.565	81.281	81.025	80.814	80.602	80.355	80.081	79.807	79.563	79.328	79.092	78.852	78.612	78.387	78.238	78.09	77.908	77.673	77.437	77.238	77.065	76.892	76.733	76.58	76.426	76.171	75.914
