Filter Number	Filter Name	Manufacturer	Hex Color	405	410	415	420	425	430	435	440	445	450	455	460	465	470	475	480	485	490	495	500	505	510	515	520	525	530	535	540	545	550	555	560	565	570	575	580	585	590	595	600	605	610	615	620	625	630	635	640	645	650	655	660	665	670	675	680	685	690	695	700
079	Just Blue	Lee Filters	#3C8CD2	24.685	28.771	33.292	38.643	43.115	48.334	55.088	59.274	59.582	59.971	60.467	59.131	56.169	53.367	50.258	46.68	42.31	37.502	32.06	27.012	22.875	19.464	15.965	12.14	8.594	5.798	3.986	2.9	2.262	1.81	1.381	0.925	0.539	0.288	0.159	0.105	0.092	0.104	0.138	0.168	0.172	0.138	0.099	0.066	0.049	0.048	0.072	0.157	0.426	1.198	2.882	5.434	7.756	9.418	11.054	13.251	17.193	24.45	34.471	44.83
