Filter Number	Filter Name	Hex Color	350	355	360	365	370	375	380	385	390	395	400	405	410	415	420	425	430	435	440	445	450	455	460	465	470	475	480	485	490	495	500	505	510	515	520	525	530	535	540	545	550	555	560	565	570	575	580	585	590	595	600	605	610	615	620	625	630	635	640	645	650	655	660	665	670	675	680	685	690	695	700	705	710	715	720	725	730	735	740	745	750	755	760	765	770	775	780	785	790	795	800	805	810	815	820	825	830	835	840	845	850	855	860	865	870	875	880	885	890	895	900	905	910	915	920	925	930	935	940	945	950	955	960	965	970	975	980	985	990	995	1000	1005	1010	1015	1020	1025	1030	1035	1040	1045	1050	1055	1060	1065	1070	1075	1080	1085	1090	1095	1100
DB850	Dual Bandpass Filter Visible + 850nm NIR	#231F20	0.0	0.01	0.02	0.645	1.27	6.045	10.82	20.04	29.26	25.73	22.2	39.94	57.68	73.035	88.39	87.76	87.13	89.87	92.61	93.025	93.44	93.37	93.3	93.585	93.87	93.07	92.27	93.295	94.32	94.415	94.51	94.515	94.52	94.565	94.61	94.27	93.93	93.33	92.73	93.67	94.61	94.66	94.71	94.595	94.48	94.335	94.19	94.305	94.42	93.965	93.51	93.2	92.89	93.25	93.61	93.815	94.02	93.07	92.12	81.865	71.61	45.33	19.05	11.345	3.64	2.335	1.03	0.87	0.71	0.77	0.83	0.79	0.75	0.56	0.37	0.3	0.23	0.24	0.25	0.37	0.49	0.8	1.11	1.005	0.9	0.725	0.55	0.535	0.52	0.645	0.77	1.31	1.85	4.69	7.53	23.59	39.65	64.35	89.05	90.395	91.74	92.855	93.97	91.75	89.53	75.205	60.88	40.705	20.53	13.52	6.51	4.345	2.18	1.425	0.67	0.475	0.28	0.215	0.15	0.125	0.1	0.09	0.08	0.075	0.07	0.07	0.07	0.08	0.09	0.115	0.14	0.22	0.3	0.515	0.73	1.04	1.35	1.405	1.46	1.24	1.02	0.81	0.6	0.52	0.44	0.43	0.42	0.455	0.49	0.57	0.65
