Filter Number	Filter Name	Manufacturer	Hex Color	405	410	415	420	425	430	435	440	445	450	455	460	465	470	475	480	485	490	495	500	505	510	515	520	525	530	535	540	545	550	555	560	565	570	575	580	585	590	595	600	605	610	615	620	625	630	635	640	645	650	655	660	665	670	675	680	685	690	695	700
174	Dark Steel Blue	Lee Filters	#AFE1FA	63.48	67.802	70.752	71.821	73.857	77.021	79.455	80.72	81.291	81.034	79.881	80.338	80.864	79.867	76.613	73.803	72.748	72.236	69.896	65.662	61.229	58.423	56.177	53.202	48.698	43.293	38.755	35.764	34.016	32.504	30.343	26.969	22.968	19.359	16.855	15.673	15.818	16.942	18.294	18.864	18.442	17.193	15.447	14.022	13.453	14.322	17.014	21.981	28.969	37.077	44.68	49.797	51.872	53.876	56.441	60.593	66.584	72.802	77.675	80.808
