Filter Number	Filter Name	Hex Color	405	410	415	420	425	430	435	440	445	450	455	460	465	470	475	480	485	490	495	500	505	510	515	520	525	530	535	540	545	550	555	560	565	570	575	580	585	590	595	600	605	610	615	620	625	630	635	640	645	650	655	660	665	670	675	680	685	690	695	700
211	0.9ND	#828282	10.587	10.977	11.217	11.556	11.842	12.25	12.667	12.763	12.507	12.262	12.153	11.994	11.573	11.079	10.758	10.618	10.514	10.464	10.479	10.552	10.757	11.08	11.602	12.231	12.776	12.94	12.64	12.367	12.328	12.785	13.607	14.297	14.466	14.106	13.671	13.34	13.278	13.229	12.952	12.164	11.271	10.509	10.003	9.658	9.556	9.815	10.479	11.49	12.546	13.213	13.056	11.767	9.991	9.053	9.008	10.204	13.527	19.425	26.98	34.884
