Filter Number	Filter Name	Hex Color	405	410	415	420	425	430	435	440	445	450	455	460	465	470	475	480	485	490	495	500	505	510	515	520	525	530	535	540	545	550	555	560	565	570	575	580	585	590	595	600	605	610	615	620	625	630	635	640	645	650	655	660	665	670	675	680	685	690	695	700
170	Deep Lavender	#E6AADC	48.679	50.664	52.966	53.533	53.535	54.099	55.193	54.936	53.737	52.921	52.285	51.542	50.196	48.747	47.232	45.499	43.738	41.767	39.939	38.042	35.616	32.985	30.06	27.27	24.974	23.11	21.554	20.145	18.75	17.44	16.266	15.525	15.277	15.608	16.685	18.446	20.894	23.804	26.692	29.08	30.715	31.38	31.399	31.28	31.718	33.455	36.824	41.942	48.173	55.039	62.125	68.632	74.238	78.525	81.549	83.434	84.027	84.326	84.871	85.324
