Filter Number	Filter Name	Hex Color	405	410	415	420	425	430	435	440	445	450	455	460	465	470	475	480	485	490	495	500	505	510	515	520	525	530	535	540	545	550	555	560	565	570	575	580	585	590	595	600	605	610	615	620	625	630	635	640	645	650	655	660	665	670	675	680	685	690	695	700
298	0.15ND	#E6E6E6	65.249	67.342	69.446	68.956	67.553	66.722	67.609	70.155	71.691	70.729	68.687	66.733	66.267	67.446	68.966	69.872	69.338	67.81	66.702	66.211	66.898	68.242	70.063	70.968	71.192	70.49	69.615	69.204	69.104	70.022	71.571	72.553	73.102	73.507	73.18	72.902	72.597	72.432	72.181	71.095	70.298	69.533	69.027	68.595	68.352	68.517	69.197	70.247	71.318	71.63	71.08	68.59	64.941	63.33	63.27	65.2	69.551	74.44	78.515	81.282
