Filter Number	Filter Name	Hex Color	365	370	375	380	385	390	395	400	405	410	415	420	425	430	435	440	445	450	455	460	465	470	475	480	485	490	495	500	505	510	515	520	525	530	535	540	545	550	555	560	565	570	575	580	585	590	595	600	605	610	615	620	625	630	635	640	645	650	655	660	665	670	675	680	685	690	695	700	705	710	715	720	725	730	735	740	745	750	755	760	765	770	775	780	785	790	795	800	805	810	815	820	825	830	835	840	845	850	855	860	865	870	875	880	885	890	895	900	905	910	915	920	925	930	935	940	945	950	955	960	965	970	975	980	985	990	995	1000
720	Longpass 720nm	#852727	0.469	0.469	0.469	0.469	0.469	0.469	0.469	0.469	0.469	0.469	0.469	0.469	0.469	0.469	0.469	0.469	0.469	0.469	0.469	0.469	0.469	0.469	0.469	0.469	0.469	0.469	0.469	0.469	0.469	0.469	0.469	0.469	0.469	0.469	0.469	0.469	0.477	0.49	0.726	0.947	1.097	1.17	1.17	1.17	1.17	1.17	1.17	1.17	1.17	1.17	1.17	1.17	1.17	1.17	1.17	1.17	1.17	1.17	1.187	1.257	1.449	1.751	2.301	3.062	4.156	5.71	7.89	10.973	15.454	22.684	39.865	80.471	86.82	90.229	92.351	93.755	94.526	94.873	95.309	95.745	95.78	95.791	95.791	95.791	95.791	95.791	95.791	95.791	95.791	95.791	95.833	95.833	95.833	95.833	95.833	95.842	95.853	95.868	95.874	95.874	95.887	95.9	95.91	95.918	95.923	95.938	95.956	95.956	95.963	95.985	95.996	95.997	96.009	96.023	96.033	96.039	96.039	96.047	96.06	96.071	96.08	96.08	96.08	96.08	96.08	96.08	96.078	95.705
