Filter Number	Filter Name	Hex Color	300	305	310	315	320	325	330	335	340	345	350	355	360	365	370	375	380	385	390	395	400	405	410	415	420	425	430	435	440	445	450	455	460	465	470	475	480	485	490	495	500	505	510	515	520	525	530	535	540	545	550	555	560	565	570	575	580	585	590	595	600	605	610	615	620	625	630	635	640	645	650	655	660	665	670	675	680	685	690	695	700	705	710	715	720	725	730	735	740	745	750	755	760	765	770	775	780	785	790	795	800	805	810	815	820	825	830	835	840	845	850	855	860	865	870	875	880	885	890	895	900	905	910	915	920	925	930	935	940	945	950	955	960	965	970	975	980	985	990	995	1000	1005	1010	1015	1020	1025	1030	1035	1040	1045	1050	1055	1060	1065	1070	1075	1080	1085	1090	1095	1100
GRB3	Nantong Foric	#86b2ea	21.77	30.57	39.98	48.41	56.76	63.7	69.18	73.52	76.56	79.12	81.44	83.22	83.83	84.44	85.06	85.67	85.31	84.94	84.57	84.19	83.82	83.45	83.29	83.19	83.09	83.0	82.9	82.8	82.85	82.97	83.09	83.21	83.33	83.44	83.56	83.68	83.81	83.93	84.06	84.18	84.31	84.43	84.55	84.61	84.66	84.71	84.76	84.82	84.87	84.92	84.89	84.83	84.78	84.73	84.68	84.63	84.42	83.91	83.4	82.89	82.31	81.4	80.5	79.38	78.21	76.92	75.6	74.18	72.66	71.05	69.46	67.79	66.06	64.31	62.47	60.67	58.53	56.39	54.21	52.01	49.82	47.63	45.46	43.3	41.16	39.08	36.99	34.89	32.8	30.82	28.88	26.97	25.13	23.33	21.64	20.01	18.44	16.99	15.59	14.24	13.07	11.91	10.9	9.93	8.98	8.21	7.44	6.67	6.1	5.57	5.05	4.53	4.01	3.67	3.38	3.08	2.79	2.5	2.21	1.93	1.8	1.67	1.53	1.4	1.27	1.14	1.01	0.94	0.88	0.82	0.76	0.71	0.67	0.68	0.68	0.69	0.69	0.69	0.7	0.7	0.71	0.71	0.72	0.72	0.73	0.73	0.74	0.74	0.74	0.75	0.75	0.76	0.81	0.9	0.99	1.08	1.18	1.27	1.32	1.32	1.32
