Filter Number	Filter Name	Hex Color	350	355	360	365	370	375	380	385	390	395	400	405	410	415	420	425	430	435	440	445	450	455	460	465	470	475	480	485	490	495	500	505	510	515	520	525	530	535	540	545	550	555	560	565	570	575	580	585	590	595	600	605	610	615	620	625	630	635	640	645	650	655	660	665	670	675	680	685	690	695	700	705	710	715	720	725	730	735	740	745	750	755	760	765	770	775	780	785	790	795	800	805	810	815	820	825	830	835	840	845	850	855	860	865	870	875	880	885	890	895	900	905	910	915	920	925	930	935	940	945	950	955	960	965	970	975	980	985	990	995	1000
V1	Kolari IR Chrome	#c82f41	62.34	65.95	72.47	77.88	81.66	84.9	86.56	88.22	89.85	90.8	91.74	91.99	92.04	92.09	92.14	92.18	92.23	92.28	92.33	91.55	90.74	89.93	89.11	87.96	86.23	84.51	82.49	79.94	77.21	74.16	70.91	67.61	64.04	60.25	56.37	52.48	48.58	44.74	41.1	37.52	33.78	30.01	26.6	23.82	21.21	19.25	17.3	15.52	13.91	12.29	10.81	9.36	7.94	7.58	7.22	6.86	6.61	6.51	6.41	6.31	6.21	6.11	6.29	6.53	6.77	7.01	7.25	7.49	7.73	7.97	9.34	11.01	12.68	14.37	16.15	17.9	19.1	20.29	21.48	22.67	23.16	23.04	22.91	22.78	22.55	21.78	21.01	20.23	19.53	18.83	18.12	17.42	16.82	16.28	15.73	15.18	14.73	14.31	13.9	13.49	13.07	12.66	12.24	11.91	11.63	11.36	11.09	10.81	10.54	10.27	9.99	9.72	9.45	9.24	9.04	8.83	8.63	8.42	8.27	8.15	8.04	7.93	7.81	7.7	7.58	7.47	7.36	7.28	7.19	7.11	7.03
