Filter Number	Filter Name	Hex Color	405	410	415	420	425	430	435	440	445	450	455	460	465	470	475	480	485	490	495	500	505	510	515	520	525	530	535	540	545	550	555	560	565	570	575	580	585	590	595	600	605	610	615	620	625	630	635	640	645	650	655	660	665	670	675	680	685	690	695	700
004	Medium Bastard Amber	#FFC8B4	48.606	47.409	46.137	44.439	43.078	42.737	42.812	42.768	42.321	42.569	43.995	46.059	47.423	48.033	48.529	49.459	50.668	51.001	49.87	47.84	46.476	45.512	45.636	46.054	46.803	47.595	48.477	49.424	50.839	52.107	53.147	54.155	56.07	59.89	66.077	72.543	77.696	81.665	84.846	87.204	88.728	89.135	89.215	89.176	88.95	89.144	89.677	90.107	90.247	90.377	90.586	90.18	90.046	89.968	89.844	89.908	90.145	90.413	90.475	90.228
