Wavelength (nm)	Power
300.0	0.0293
305.0	1.2899
310.0	2.5505
315.0	9.04125
320.0	15.532
325.0	21.96675
330.0	28.4015
335.0	29.95835
340.0	31.5152
345.0	33.78425
350.0	36.0533
355.0	37.231
360.0	38.4087
365.0	40.6733
370.0	42.9379
375.0	42.0887
380.0	41.2395
385.0	43.84465
390.0	46.4498
395.0	59.30195
400.0	72.1541
405.0	76.22205
410.0	80.29
415.0	81.5341
420.0	82.7782
425.0	80.17745
430.0	77.5767
435.0	86.5984
440.0	95.6201
445.0	101.76225
450.0	107.9044
455.0	108.7111
460.0	109.5178
465.0	108.62295
470.0	107.7281
475.0	108.6911
480.0	109.6541
485.0	106.6692
490.0	103.6843
495.0	104.4494
500.0	105.2145
505.0	104.8149
510.0	104.4153
515.0	103.46975
520.0	102.5242
525.0	104.29085
530.0	106.0575
535.0	104.6855
540.0	103.3135
545.0	103.42665
550.0	103.5398
555.0	101.7699
560.0	100.0
565.0	98.3759
570.0	96.7518
575.0	96.7319
580.0	96.712
585.0	93.2952
590.0	89.8784
595.0	90.9071
600.0	91.9358
605.0	91.97585
610.0	92.0159
615.0	91.2841
620.0	90.5523
625.0	88.48885
630.0	86.4254
635.0	86.9331
640.0	87.4408
645.0	85.631
650.0	83.8212
655.0	84.1803
660.0	84.5394
665.0	85.9118
670.0	87.2842
675.0	85.273
680.0	83.2618
685.0	78.62875
690.0	73.9957
695.0	75.2048
700.0	76.4139
705.0	77.64345
710.0	78.873
715.0	72.0985
720.0	65.324
725.0	69.6352
730.0	73.9464
735.0	76.6527
740.0	79.359
745.0	73.26265
750.0	67.1663
755.0	58.16505
760.0	49.1638
765.0	59.9502
770.0	70.7366
775.0	68.8789
780.0	67.0212
785.0	67.5226
790.0	68.024
795.0	65.43955
800.0	62.8551
805.0	58.86505
810.0	54.875
815.0	57.7862
820.0	60.6974
825.0	62.22695
830.0	63.7565
