Filter Number	Filter Name	Manufacturer	Hex Color	360	365	370	375	380	385	390	395	400	405	410	415	420	425	430	435	440	445	450	455	460	465	470	475	480	485	490	495	500	505	510	515	520	525	530	535	540	545	550	555	560	565	570	575	580	585	590	595	600	605	610	615	620	625	630	635	640	645	650	655	660	665	670	675	680	685	690	695	700	705	710	715	720	725	730	735	740	745	750	755	760	765	770	775	780	785	790	795	800	805	810	815	820	825	830	835	840	845	850	855	860	865	870	875	880	885	890	895	900	905	910	915	920	925	930	935	940	945	950	955	960	965	970	975	980	985	990	995	1000	1005	1010	1015	1020	1025	1030	1035	1040	1045	1050	1055	1060	1065	1070	1075	1080	1085	1090	1095	1100
503BP12	Nebular OIII	Omega	#00ffe0	48.692	63.103	73.472	80.812	84.145	83.743	39.421	10.329	6.32	11.312	79.163	20.758	64.604	2.86	0.595	0.379	0.301	0.301	0.301	0.301	0.301	0.301	0.301	0.301	0.552	1.841	5.382	37.674	92.491	93.932	80.309	10.933	2.081	0.938	0.515	0.192	0.192	0.192	0.192	0.192	0.192	0.192	0.192	0.192	0.192	0.192	0.192	0.192	0.273	0.819	1.366	2.893	6.538	41.778	74.2	25.248	21.227	27.46	51.149	91.533	71.029	30.902	19.085	14.186	12.5	10.985	11.865	12.744	14.589	18.092	23.247	30.715	41.448	54.444	68.856	80.198	87.469	90.245	92.259	93.323	93.682	94.041	94.255	94.091	93.927	93.763	93.503	93.242	92.98	93.041	93.254	93.467	93.663	93.834	94.004	94.164	94.206	94.249	94.292	94.2	94.073	93.945	93.13	91.592	89.89	86.496	82.347	77.633	72.692	67.819	63.095	58.757	55.151	52.223	49.596	48.027	46.822	45.618	45.922	46.403	46.883	48.302	50.354	52.471	55.881	59.692	64.076	68.991	74.046	78.961	83.745	87.769	90.176	91.117	92.058	92.827	90.649	88.472	85.913	83.153	80.438	77.732	75.892	74.14	72.657	72.188	71.72	71.252	72.053
