Filter Number	Filter Name	Manufacturer	Hex Color	365	370	375	380	385	390	395	400	405	410	415	420	425	430	435	440	445	450	455	460	465	470	475	480	485	490	495	500	505	510	515	520	525	530	535	540	545	550	555	560	565	570	575	580	585	590	595	600	605	610	615	620	625	630	635	640	645	650	655	660	665	670	675	680	685	690	695	700	705	710	715	720	725	730	735	740	745	750	755	760	765	770	775	780	785	790	795	800	805	810	815	820	825	830	835	840	845	850	855	860	865	870	875	880	885	890	895	900	905	910	915	920	925	930	935	940	945	950	955	960	965	970	975	980
TB430-512-631	Triple bandpass 430-512-631	Omega	#edb751	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.027	1.978	35.06	69.77	52.919	12.111	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.753	10.75	71.375	83.722	88.604	82.142	55.802	0.596	0.021	0.003	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.461	3.765	53.688	81.33	69.086	58.927	44.388	62.852	74.917	61.079	49.91	51.509	28.025	2.308	0.625	0.272	0.122	0.102	0.082	0.062	0.043	0.023	0.003	0.0	0.0	0.0	0.0	0.941	3.611	7.589	12.091	20.9	42.138	66.035	48.593	32.726	28.414	25.405	23.715	24.777	30.407	45.634	78.104	77.015	36.684	16.897	12.606	14.153	34.932	60.587	2.611	0.739	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.025	0.012	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
