Filter Number	Filter Name	Manufacturer	Hex Color	375	380	385	390	395	400	405	410	415	420	425	430	435	440	445	450	455	460	465	470	475	480	485	490	495	500	505	510	515	520	525	530	535	540	545	550	555	560	565	570	575	580	585	590	595	600	605	610	615	620	625	630	635	640	645	650	655	660	665	670	675	680	685	690	695	700	705	710	715	720	725	730	735	740	745
XB30	Color Enhancing	Omega	#5B5B5B	1.963	7.245	14.858	10.82	3.716	5.072	34.811	59.312	65.281	70.858	79.202	81.552	75.859	67.712	73.002	82.957	77.795	85.079	85.631	85.95	87.313	86.005	57.809	14.758	6.157	6.971	19.161	69.821	79.43	78.755	87.212	85.294	84.308	88.21	83.506	76.21	79.816	72.509	17.856	4.923	2.269	1.268	1.049	1.398	2.545	5.966	17.964	56.845	85.035	86.322	85.118	84.476	84.042	86.017	88.834	87.284	81.374	78.448	79.963	85.251	88.677	87.578	81.528	73.754	64.387	53.276	41.377	30.037	23.161	18.057	15.366	14.404	14.913	16.762	20.253
