Filter Number	Filter Name	Manufacturer	Hex Color	210	215	220	225	230	235	240	245	250	255	260	265	270	275	280	285	290	295	300	305	310	315	320	325	330	335	340	345	350	355	360	365	370	375	380	385	390	395	400	405	410	415	420	425	430	435	440	445	450	455	460	465	470	475	480	485	490	495	500	505	510	515	520	525	530	535	540	545	550	555	560	565	570	575	580	585	590	595	600	605	610	615	620	625	630	635	640	645	650	655	660	665	670	675	680	685	690	695	700	705	710	715	720	725	730	735	740	745	750	755	760	765	770	775	780	785	790	795	800	805	810	815	820	825	830	835	840	845	850	855	860	865	870	875	880	885	890	895	900	905	910	915	920	925	930	935	940	945	950	955	960	965	970	975	980	985	990	995	1000	1005	1010	1015	1020	1025	1030	1035	1040	1045	1050	1055	1060	1065	1070	1075	1080	1085
ZWB3	ZWB3 2mm	Tangsinuo	#4A008C	0.259	0.359	0.46	3.285	10.052	29.302	45.963	60.177	70.853	75.603	79.175	82.289	84.77	86.044	87.318	88.355	88.989	89.623	90.258	90.518	90.778	91.039	91.299	91.332	91.177	91.022	90.866	90.711	90.555	90.077	89.487	88.896	86.353	82.939	79.384	70.981	59.724	47.852	32.441	21.731	13.352	7.143	4.28	2.9	2.147	1.498	1.498	1.498	1.498	1.54	1.588	1.607	1.512	1.417	1.319	1.218	1.118	0.913	0.701	0.524	0.38	0.237	0.16	0.098	0.037	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.005	0.063	0.121	0.179	0.469	1.006	2.111	4.401	9.719	18.039	24.951	31.55	43.533	49.853	56.523	61.242	64.302	66.374	67.181	67.077	66.063	64.873	63.342	61.812	59.937	58.014	56.598	55.349	53.857	52.0	50.163	49.058	47.953	46.847	45.802	44.91	44.018	43.126	42.234	41.342	40.449	39.658	39.124	38.59	38.057	37.523	36.989	36.455	35.921	35.783	35.684	35.585	35.487	35.388	35.289	35.19	35.211	35.336	35.461	35.585	35.71	35.835	35.96	36.125	36.489	36.853	37.217	37.582	37.946	38.31	38.652	38.911	39.169	39.427	39.686	39.944	40.202	40.46	40.701	40.919	41.137	41.354	41.572	41.79	42.008	42.185	41.941	41.698	41.455	41.211	40.968	40.725
