Filter Number	Filter Name	Manufacturer	Hex Color	205	210	215	220	225	230	235	240	245	250	255	260	265	270	275	280	285	290	295	300	305	310	315	320	325	330	335	340	345	350	355	360	365	370	375	380	385	390	395	400	405	410	415	420	425	430	435	440	445	450	455	460	465	470	475	480	485	490	495	500	505	510	515	520	525	530	535	540	545	550	555	560	565	570	575	580	585	590	595	600	605	610	615	620	625	630	635	640	645	650	655	660	665	670	675	680	685	690	695	700	705	710	715	720	725	730	735	740	745	750	755	760	765	770	775	780	785	790	795	800	805	810	815	820	825	830	835	840	845	850	855	860	865	870	875	880	885	890	895	900	905	910	915	920	925	930	935	940	945	950	955	960	965	970	975	980	985	990	995	1000	1005	1010	1015	1020	1025	1030	1035	1040	1045	1050	1055	1060	1065	1070	1075	1080	1085	1090	1095
550	Longpass	Tangsinuo	#FF9700	0.0	0.016	0.07	0.11	0.15	0.158	0.158	0.158	0.158	0.158	0.158	0.158	0.158	0.158	0.153	0.14	0.126	0.087	0.049	0.054	0.079	0.105	0.131	0.157	0.158	0.158	0.158	0.158	0.158	0.158	0.158	0.175	0.194	0.278	0.413	0.485	0.428	0.373	0.328	0.282	0.233	0.177	0.127	0.141	0.155	0.158	0.158	0.158	0.158	0.158	0.158	0.158	0.158	0.158	0.146	0.114	0.082	0.097	0.112	0.126	0.134	0.142	0.15	0.157	0.329	0.507	1.967	7.674	17.244	41.213	59.138	69.627	79.62	84.719	87.886	89.046	89.824	90.211	90.599	90.751	90.898	90.98	91.022	91.062	91.095	91.128	91.097	91.06	91.061	91.092	91.128	91.182	91.237	91.216	91.181	91.141	91.093	91.069	91.181	91.292	91.335	91.359	91.328	91.225	91.127	91.079	91.031	91.028	91.044	91.045	91.025	91.006	91.035	91.065	91.046	91.004	90.981	91.003	91.024	91.051	91.078	91.049	90.982	90.932	90.932	90.932	90.932	90.932	90.932	90.932	90.938	90.968	90.998	90.976	90.942	90.938	90.965	90.984	90.944	90.904	90.902	90.912	90.926	90.944	90.961	90.961	90.961	90.973	90.992	90.989	90.95	90.911	90.923	90.935	90.955	90.979	90.994	90.987	90.981	90.939	90.894	90.879	90.885	90.899	90.939	90.979	91.005	91.028	91.042	91.049	91.051	91.025	90.999	91.024	91.061	91.055	90.998	90.959	91.078
