Filter Number	Filter Name	Manufacturer	Hex Color	205	210	215	220	225	230	235	240	245	250	255	260	265	270	275	280	285	290	295	300	305	310	315	320	325	330	335	340	345	350	355	360	365	370	375	380	385	390	395	400	405	410	415	420	425	430	435	440	445	450	455	460	465	470	475	480	485	490	495	500	505	510	515	520	525	530	535	540	545	550	555	560	565	570	575	580	585	590	595	600	605	610	615	620	625	630	635	640	645	650	655	660	665	670	675	680	685	690	695	700	705	710	715	720	725	730	735	740	745	750	755	760	765	770	775	780	785	790	795	800	805	810	815	820	825	830	835	840	845	850	855	860	865	870	875	880	885	890	895	900	905	910	915	920	925	930	935	940	945	950	955	960	965	970	975	980	985	990	995	1000	1005	1010	1015	1020	1025	1030	1035	1040	1045	1050	1055	1060	1065	1070	1075	1080	1085	1090	1095
ZWB2	ZWB2 2mm	Tangsinuo	#480075	0.275	0.275	0.275	0.275	0.275	0.275	0.275	0.275	0.275	0.275	0.275	0.275	0.275	0.275	0.275	0.275	0.275	0.329	4.746	12.196	23.176	35.641	47.743	56.162	62.939	69.036	73.565	75.774	76.994	78.163	78.131	77.806	76.111	71.682	66.078	56.015	41.343	22.52	8.849	1.634	0.367	0.28	0.194	0.118	0.118	0.118	0.118	0.118	0.118	0.118	0.118	0.118	0.118	0.118	0.118	0.118	0.118	0.118	0.118	0.118	0.118	0.118	0.118	0.118	0.118	0.118	0.118	0.118	0.118	0.118	0.118	0.118	0.118	0.118	0.118	0.118	0.118	0.118	0.118	0.118	0.118	0.118	0.118	0.118	0.118	0.118	0.118	0.118	0.118	0.118	0.118	0.118	0.118	0.118	0.118	0.118	0.118	0.118	0.544	1.529	3.283	6.506	10.014	13.148	16.32	19.602	23.84	26.465	27.635	26.647	23.969	20.243	16.765	14.079	12.697	12.029	11.599	11.073	10.173	9.213	8.182	7.17	6.251	5.433	4.848	4.263	3.79	3.524	3.258	2.977	2.672	2.367	2.128	2.034	1.941	1.847	1.843	1.843	1.843	1.843	1.843	1.843	1.843	1.843	1.805	1.704	1.602	1.529	1.529	1.529	1.529	1.529	1.529	1.529	1.529	1.529	1.451	1.371	1.29	1.213	1.175	1.137	1.1	1.062	0.985	0.904	0.823	0.744	0.704	0.663	0.623	0.588	0.588	0.588	0.588	0.588	0.506	0.423	0.339
