Filter Number	Filter Name	Manufacturer	Hex Color	225	230	235	240	245	250	255	260	265	270	275	280	285	290	295	300	305	310	315	320	325	330	335	340	345	350	355	360	365	370	375	380	385	390	395	400	405	410	415	420	425	430	435	440	445	450	455	460	465	470	475	480	485	490	495	500	505	510	515	520	525	530	535	540	545	550	555	560	565	570	575	580	585	590	595	600	605	610	615	620	625	630	635	640	645	650	655	660	665	670	675	680	685	690	695	700	705	710	715	720	725	730	735	740	745	750	755	760	765	770	775	780	785	790	795	800	805	810	815	820	825	830	835	840	845	850	855	860	865	870	875	880	885	890	895	900	905	910	915	920	925	930	935	940	945	950	955	960	965	970	975	980	985	990	995	1000	1005	1010	1015	1020	1025	1030	1035	1040	1045	1050	1055	1060	1065	1070	1075	1080	1085	1090	1095
TSB575	TSN575 Strong IR cut	Tangsinuo	#00AAFF	0.003	0.031	0.039	0.039	0.039	0.039	0.039	0.039	0.039	0.039	0.039	0.025	0.011	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.037	0.377	1.468	4.552	11.346	22.908	35.58	48.04	57.792	67.083	72.853	77.767	81.072	83.353	84.929	85.889	86.734	87.129	87.515	87.778	88.014	88.202	88.366	88.533	88.703	88.867	89.02	89.17	89.305	89.438	89.501	89.564	89.516	89.453	89.265	89.028	88.364	87.375	86.505	85.714	84.678	83.455	81.706	79.479	76.82	73.713	70.067	65.695	60.967	56.123	50.872	45.434	39.926	34.544	29.155	24.188	19.629	15.795	12.557	9.66	7.249	5.345	3.901	2.732	1.988	1.305	0.95	0.596	0.442	0.289	0.209	0.143	0.096	0.058	0.039	0.039	0.039	0.039	0.039	0.039	0.039	0.039	0.039	0.039	0.039	0.039	0.039	0.039	0.039	0.039	0.039	0.039	0.039	0.039	0.039	0.039	0.039	0.039	0.039	0.039	0.039	0.039	0.039	0.039	0.039	0.039	0.039	0.039	0.039	0.039	0.039	0.039	0.039	0.039	0.039	0.039	0.039	0.039	0.039	0.039	0.039	0.039	0.039	0.039	0.039	0.039	0.039	0.039	0.039	0.039	0.039	0.039	0.039	0.039	0.039	0.039	0.039	0.039	0.039	0.039	0.039	0.039	0.039	0.039	0.039	0.039	0.039	0.039	0.039	0.039	0.039	0.039	0.039	0.039	0.047
