Filter Number	Filter Name	Manufacturer	Hex Color	220	225	230	235	240	245	250	255	260	265	270	275	280	285	290	295	300	305	310	315	320	325	330	335	340	345	350	355	360	365	370	375	380	385	390	395	400	405	410	415	420	425	430	435	440	445	450	455	460	465	470	475	480	485	490	495	500	505	510	515	520	525	530	535	540	545	550	555	560	565	570	575	580	585	590	595	600	605	610	615	620	625	630	635	640	645	650	655	660	665	670	675	680	685	690	695	700	705	710	715	720	725	730	735	740	745	750	755	760	765	770	775	780	785	790	795	800	805	810	815	820	825	830	835	840	845	850	855	860	865	870	875	880	885	890	895	900	905	910	915	920	925	930	935	940	945	950	955	960	965	970	975	980	985	990	995	1000	1005	1010	1015	1020	1025	1030	1035	1040	1045	1050	1055	1060	1065	1070	1075	1080	1085	1090	1095
2mm	Didymium	Tangsinuo	#B879FF	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.068	4.676	14.424	29.944	44.592	51.849	56.01	60.34	66.845	61.526	21.178	19.042	21.89	67.095	82.759	89.0	89.609	89.861	90.122	90.4	90.679	90.622	90.437	90.064	88.271	85.298	72.003	82.022	86.992	88.781	86.459	84.137	81.965	79.594	76.78	73.728	78.139	82.79	87.533	83.736	78.716	69.23	57.216	50.076	56.679	34.542	31.165	36.629	63.391	82.215	84.818	84.961	81.314	65.165	5.03	2.07	5.013	1.775	3.986	9.415	28.601	47.9	56.968	74.539	88.324	88.543	88.762	88.982	89.562	90.239	90.725	90.337	89.95	88.478	86.198	83.917	79.101	74.859	80.779	85.649	88.524	89.312	89.402	89.047	85.996	81.89	67.088	25.079	10.068	12.959	15.836	34.484	52.557	64.418	71.614	74.976	70.692	54.621	37.586	23.343	15.191	8.437	9.725	28.744	46.007	60.455	71.019	78.095	84.349	86.691	85.658	81.073	74.518	63.626	54.79	47.154	38.349	51.588	63.327	72.427	77.385	82.342	84.457	86.5	88.221	89.388	90.554	91.02	91.265	91.474	91.485	91.496	91.501	91.501	91.501	91.501	91.501	91.507	91.526	91.545	91.567	91.589	91.609	91.609	91.609	91.609	91.609	91.609	91.609	91.609	91.609	91.609	91.609	91.596	91.578	91.561	91.576	91.591	91.602	91.607
