Filter Number	Filter Name	Manufacturer	Hex Color	365	370	375	380	385	390	395	400	405	410	415	420	425	430	435	440	445	450	455	460	465	470	475	480	485	490	495	500	505	510	515	520	525	530	535	540	545	550	555	560	565	570	575	580	585	590	595	600	605	610	615	620	625	630	635	640	645	650	655	660	665	670	675	680	685	690	695	700	705	710	715	720	725	730	735	740	745	750	755	760	765	770	775	780	785	790	795	800	805	810	815	820	825	830	835	840	845	850	855	860	865	870	875	880	885	890	895	900	905	910	915	920	925	930	935	940	945	950	955	960	965	970	975	980	985	990	995	1000	1005	1010	1015	1020	1025	1030	1035	1040	1045	1050	1055	1060	1065	1070	1075	1080	1085
DB830	DB830	Midopt	#5B5B5B	0.0	0.243	1.329	5.447	17.089	30.272	38.72	80.882	89.088	89.992	90.532	90.926	91.321	91.378	91.381	91.384	91.625	91.925	92.226	92.595	92.978	93.36	93.423	93.445	93.466	93.043	92.582	92.122	92.087	92.069	92.052	92.766	93.575	94.231	94.228	94.224	94.238	94.312	94.386	94.433	94.403	94.373	94.386	94.495	94.605	94.688	94.722	94.756	94.745	94.661	94.577	94.468	94.327	94.185	94.006	93.785	93.564	93.243	92.823	90.717	78.418	57.818	34.754	9.228	3.249	1.762	0.681	0.453	0.31	0.166	0.197	0.264	0.331	0.297	0.254	0.211	0.149	0.087	0.024	0.043	0.062	0.092	0.424	0.755	1.367	2.512	6.033	22.316	44.192	86.512	91.253	93.0	91.574	90.065	86.821	72.374	52.604	34.71	17.043	6.926	3.205	1.768	1.121	0.634	0.294	0.187	0.08	0.006	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.014	0.037	0.106	0.184	0.262	0.188	0.091	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
